EXPID,REFID,RYEAR,RTYPE,RJRNL,RAUTHOR,RTITLE,RPUBLISHER,RPUBDATE,RLANGUAGE,RCITATION,RYAK94,RNOTES
JANU78301,02,1978,2.0,HJ,"Carrington, R. A. B.",Jannu - Alpine Style,,,,36:18-22 (1978-79),,
MAKA78101,02,1978,2.0,HJ,"Warth, Dr. Hermann",International Makalu Expedition,,,,36:23-26 (1978-79),,
EVER78301,02,1978,2.0,HJ,"Herrligkoffer, Dr. K. M.","The German-French Mount Everest Expedition, 1978",,,,36:27-28 (1978-79),,
HIME78301,02,1978,2.0,HJ,"Cleare, John",Himalchuli,,,,36:33-40 (1978-79),,
DHA178101,02,1978,2.0,HJ,"Amemiya, Takashi",South Pillar of Dhaulagiri,,,,36:41-43 (1978-79),,
NUPT78301,02,1978,2.0,HJ,"Scott, Doug","British Nuptse North Face Himalayan Expedition, 1978",,,,36:177-178 (1978-79),,
PUMO78101,02,1978,2.0,HJ,"Nagato, Teruhiko",Pumori 1978,,,,36:178-179 (1978-79),,
DHA178302,02,1978,2.0,HJ,"Coudray, Jean",Attempt on the South Pillar of Dhaulagiri I (8172m),,,,36:179-181 (1978-79),,
DHA179101,02,1979,2.0,HJ,"Bramona, Ramon",The Spanish Expedition to Dhaulagiri I,,,,36:181-182 (1978-79),,
TILI79101,02,1979,2.0,HJ,"Yakushi, Yoshimi",Tilitso Himal 1979,,,,36:183-184 (1978-79),,
APIM78301,02,1978,2.0,HJ,"Moro, Renato",The Italian Expedition to Mount Api,,,,36:184-185 (1978-79),,
EVER79101,02,1979,2.0,HJ,"Skarja, Tone",Yugoslav Everest Expedition,,,,37:1-2 (1979-80),,
LHOT79101,02,1979,2.0,HJ,"Vanis, Erich",Austrian Lhotse Expedition Aulex 1979,,,,37:3-6 (1979-80),,
LHOT79301,02,1979,2.0,HJ,"Bilczewski, Adam",Polish Lhotse Expedition 1979,,,,37:7-14 (1979-80),,
GAUR79301,02,1979,2.0,HJ,"Boardman, Peter",The British-Nepalese Gauri Shanker Expedition 1979,,,,37:15-18 (1979-80),,
GAUR80101,01,1980,2.0,HJ,"Cullinan, P. A. & Brammer, G.",Australian Gauri Shankar (Tseringma) Expedition,,,,37:19-21 (1979-80),,
MAKA80101,01,1980,2.0,HJ,"Roskelley, John",Makalu West Pillar,,,,37:22-24 (1979-80),,
TUKU79301,02,1979,2.0,HJ,"Collet, Rene",Tukuche West Peak (6780m) Expedition,,,,37:25-28 (1979-80),,
ANN379301,02,1979,2.0,HJ,"Rutland, Ron and Linda",Annapurna III South Face,,,,37:29-32 (1979-80),,
KAN180101,01,1980,2.0,HJ,"Meier, Ruedi",Swiss Sisne Himal Expedition 1980,,,,37:33-35 (1979-80),,
DHA180102,01,1980,2.0,HJ,"MacIntyre, Alex",Dhaulagiri East Face Expedition,,,,37:36-41 (1979-80),,
EVER79301,02,1979,2.0,HJ,"Schmatz, Dr. Gerhard","Swabian Everest Expedition, 1979",,,,37:147-148 (1979-80),,
AMAD79302,02,1979,2.0,HJ,"Hillary, Peter","Ama Dablam, 1979",,,,37:148-150 (1979-80),,
